Price,Close,High,Low,Open,Volume
Ticker,DBK,DBK,DBK,DBK,DBK
Date,,,,,
2014-11-10,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-11-11,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-11-12,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-11-13,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-11-14,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-11-28,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-12-01,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-12-02,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-12-03,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-12-04,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,0
2014-12-05,32.220001220703125,32.25,32.220001220703125,32.25,400
2014-12-08,32.220001220703125,32.220001220703125,32.220001220703125,32.220001220703125,0
2014-12-09,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,2000
2014-12-10,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-11,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-12,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-15,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-16,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-17,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-18,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-19,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-22,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-23,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-24,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-26,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-29,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-30,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2014-12-31,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-02,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-05,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-06,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-07,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-08,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-09,30.6299991607666,30.6299991607666,30.6299991607666,30.6299991607666,0
2015-01-12,28.790000915527344,28.790000915527344,28.790000915527344,28.790000915527344,500
2015-01-13,28.790000915527344,28.790000915527344,28.790000915527344,28.790000915527344,0
2015-01-14,28.790000915527344,28.790000915527344,28.790000915527344,28.790000915527344,0
2015-01-15,25.100000381469727,29.360000610351562,25.100000381469727,29.360000610351562,3300
2015-01-16,24.8700008392334,24.899999618530273,24.8700008392334,24.899999618530273,3500
2015-01-20,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-21,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-22,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-23,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-26,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-27,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-28,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0
2015-01-29,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,2300
2015-01-30,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,0
2015-02-02,26.829999923706055,26.860000610351562,26.829999923706055,26.860000610351562,200
2015-02-03,26.829999923706055,26.829999923706055,26.829999923706055,26.829999923706055,0
2015-02-04,26.829999923706055,26.829999923706055,26.829999923706055,26.829999923706055,0
2015-02-05,28.6299991607666,28.6299991607666,28.6299991607666,28.6299991607666,1110
2015-02-06,28.559999465942383,28.559999465942383,28.559999465942383,28.559999465942383,340
2015-02-09,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,900
2015-02-10,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,0
2015-02-11,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,0
2015-02-12,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,0
2015-02-13,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,0
2015-02-17,30.700000762939453,30.700000762939453,30.700000762939453,30.700000762939453,0
2015-02-18,30.5,30.829999923706055,30.5,30.829999923706055,27000
2015-02-19,30.690000534057617,30.690000534057617,30.690000534057617,30.690000534057617,5
2015-02-20,30.729999542236328,30.729999542236328,30.729999542236328,30.729999542236328,500
2015-02-23,30.729999542236328,30.729999542236328,30.729999542236328,30.729999542236328,0
2015-02-24,31.190000534057617,31.190000534057617,31.190000534057617,31.190000534057617,200
